step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
362,TRANSFER,6777.11,35115.33,28338.22,5220.51,8027.95,0
189,TRANSFER,6169.23,13010.72,6841.49,5731.13,67097.79,0
650,TRANSFER,6835.57,37098.35,30262.77,42337.16,78953.51,0
78,CASH_OUT,6052.08,30886.33,24834.25,29780.43,96892.05,0
339,PAYMENT,6126.04,3280.24,0,6935.75,91800.22,0
161,CASH_OUT,4798.66,26170.4,21371.73,1021.11,53647.36,0
219,TRANSFER,1484.44,7963.43,6478.99,34661.25,81468.16,0
457,PAYMENT,8965.23,7868.29,0,32016.76,93289.37,0
577,CASH_IN,7995.61,14562.57,22558.18,344.38,4994.17,0
251,TRANSFER,6847.45,42360.59,35513.13,18712.89,47734.41,0
43,PAYMENT,2111.47,39693.43,37581.96,18783.29,52007.41,0
32,TRANSFER,3683.65,14898.2,11214.54,7503.16,59122.74,0
304,CASH_OUT,3606.83,742.68,0,43696.55,59929.98,0
633,PAYMENT,7399.31,46550.11,39150.79,7375.95,24010.21,0
402,TRANSFER,3308.34,17200.4,13892.06,33877.04,47135.33,0
193,CASH_OUT,4101.7,10477.8,6376.1,14995.4,51739.23,0
641,CASH_OUT,8084.34,11446.81,3362.47,49005.96,96729.65,0
512,DEBIT,1704.01,9739.09,8035.08,700.68,16147.69,0
672,CASH_IN,7396.2,44724.35,52120.55,100.83,63299.66,0
392,CASH_IN,4328.39,33366.27,37694.66,49948.9,59994.84,0
394,CASH_OUT,20042.68,15609.56,0,34381.12,89265.98,1
324,TRANSFER,564.84,62494.77,61929.92,28149.68,9998.12,1
47,TRANSFER,1959.36,10849.01,8889.65,6631.41,46085.51,0
684,DEBIT,2967.98,13597.63,10629.65,2459.21,96123.78,0
222,DEBIT,4735.42,23406.76,18671.35,725.19,42811.04,0
610,CASH_OUT,2791.01,23874.76,21083.75,5778.35,83633.24,0
353,CASH_OUT,3127.33,34371.02,31243.69,34431.89,69853.76,0
155,TRANSFER,3076.31,3768.14,691.83,31161.58,31550.0,0
478,CASH_OUT,8305.07,23244.78,14939.71,34799.56,11069.94,0
333,TRANSFER,44178.78,16402.41,0,37721.79,4976.25,1
137,CASH_IN,1047.44,42067.41,43114.85,34051.19,25379.31,0
724,TRANSFER,638.7,18043.41,17404.7,47736.71,27609.04,0
600,CASH_IN,1926.07,13267.19,15193.26,12618.92,77131.61,0
400,DEBIT,6751.72,25219.28,18467.56,39803.3,40137.66,0
12,CASH_OUT,2610.62,7630.95,5020.33,1264.18,65163.5,0
405,DEBIT,6569.26,19943.59,13374.32,28850.97,74982.63,0
553,TRANSFER,618.08,1771.8,1153.72,27004.75,41878.76,0
514,DEBIT,5916.1,20255.56,14339.46,15717.91,8034.98,0
337,TRANSFER,1049.37,43867.22,42817.85,45527.15,49593.07,0
676,CASH_IN,4537.93,22372.83,26910.76,30060.83,657.3,0
413,TRANSFER,3977.1,5685.37,1708.27,21702.67,30470.28,0
620,CASH_OUT,8425.46,28399.09,19973.64,41261.81,2837.35,0
492,CASH_OUT,5605.32,46757.03,41151.71,36083.22,28778.94,0
653,CASH_OUT,7371.4,4467.58,0,29280.11,16877.3,0
120,CASH_OUT,7767.74,44363.48,36595.74,10674.55,80959.32,0
80,DEBIT,8369.56,34322.28,25952.72,8419.08,40400.63,0
96,CASH_IN,6348.77,35015.8,41364.58,42505.31,79567.79,0
661,CASH_IN,77.04,19044.87,19121.91,11196.83,28360.44,0
703,PAYMENT,2417.65,46306.12,43888.47,3171.78,13770.73,0
463,DEBIT,6470.78,21829.94,15359.16,10901.5,75992.75,0
673,DEBIT,3656.46,30873.67,27217.21,35815.76,47778.98,0
191,DEBIT,1278.04,7095.39,5817.36,13225.37,16685.87,0
214,PAYMENT,1367.91,41578.39,40210.47,16571.34,36828.88,0
449,CASH_IN,4334.65,25941.6,30276.24,33316.0,54798.97,0
